Street Number, Street Name, Zipcode, Price
1650, H ST, 93721, $1350000
330, S ROSEMEAD BLVD, 91107, $1388000
117, N A ST, 93030, $1800000
535, NELSON ST, 90731, $2990000
2333, STANWELL DR, 94520, $3000000
874, W RIALTO AVE, 92376, $2695000
1900, E 17TH ST, 92705, $4283680
2622, CONEJO CENTER DR, 91320, $585000
450, N M ST, 93274, $1299000
3635, W 5TH ST, 93030, $625000
507, 1/2 EVERETT ST, 90026, $1300000
4558, N FIGUEROA ST, 90065, $3450000
1441, PECKHAM ST, 92833, $2549000
451, N M ST, 93274, $1299000
1336, 4TH ST, 94901, $6000000
1145, W GRAND AVE, 91766, $2300000
682, 1/2 EVERETT ST, 90026, $1300000
15167, RAYMER ST, 91405, $4500000
501, 1/2 EVERETT ST, 90026, $1300000
8774, CUYAMACA ST, 92071, $1395000
2911, UNIVERSITY AVE, 92104, $6500000
2809, FABER ST, 94587, $12000000
4381, TECHNOLOGY DR, 94538, $8600000
2843, CHAPMAN ST, 94601, $2500000
963, 18TH ST, 94607, $1850000
135, 1/2 EVERETT ST, 90026, $1300000
12160, GARFIELD AVE, 90280, $5975000
574, 1/2 EVERETT ST, 90026, $1300000
392, S CABRILLO AVE, 90731, $500000
6713, GREENLEAF AVE, 90601, $1895000
24337, MAIN ST, 91321, $1700000
1659, N 8TH ST, 92324, $4600000
3351, HOLLY DR, 95376, $3200000
6409, REGENT ST, 90255, $660000
1822, ARNOLD INDUSTRIAL PL, 94520, $3000000
1431, WEBSTER ST, 94501, $2500000
3615, W 5TH ST, 93030, $625000
1286, 1ST ST, 95020, $8350000
2050, S SANTA CRUZ ST, 92805, $4268301
8026, FIRESTONE BLVD, 90241, $3474000
2137, N ANGUS ST, 93703, $15800000
3753, OCEAN VIEW BLVD, 92113, $2125000
2655, CONEJO CENTER DR, 91320, $585000
4563, COVE DR, 92008, $3600000
2086, S E ST, 92408, $1000000
6625, OWENS DR, 94588, $2350000
28948, DIVISION ST, 93534, $575000
790, 1/2 EVERETT ST, 90026, $1300000
991, W 7TH ST, 93030, $299500
14040, MERIDIAN PKY, 92518, $3800000
13967, FREDERICK ST, 92553, $1702030
1560, N ONTARE RD, 93105, $14000000
15, MARIPOSA RD, 94901, $1850000
829, S ANZA ST, 92020, $1225000
3337, HARBOR VIEW DR, 92106, $4200000
5845, ADENMOOR AVE, 90713, $1563499
449, 1/2 EVERETT ST, 90026, $1300000
404, W HARDING WAY, 95204, $275000
2790, W LINCOLN AVE, 92801, $1900000
630, DEL GANADO RD, 94903, $1350000
400, N MOUNTAIN AVE, 91786, $6967534
26913, CHERRY HILLS BLVD, 92586, $18500000
4558, PECK RD, 91732, $5500000
12156, GARFIELD AVE, 90280, $5975000
325, E PLAZA DR, 93454, $1800000
624, E 3RD AVE, 94401, $16500000
70, S JACKSON AVE, 95116, $7250000
12734, BRANFORD ST, 91331, $650000
1685, ACTION AVE, 94559, $3100000
2133, GILLESPIE ST, 93101, $1195000
711, 1/2 EVERETT ST, 90026, $1300000
9784, RESEARCH DR, 92618, $2102660
539, 1/2 EVERETT ST, 90026, $1300000
1008, FLORIDA ST, 92648, $1440000
454, 1/2 EVERETT ST, 90026, $1300000
538, 1/2 EVERETT ST, 90026, $1300000
1613, A ST, 94509, $6200000
1466, E 5TH ST, 91764, $1800000
4361, TECHNOLOGY DR, 94538, $8600000
176, S HARBOR BLVD, 92805, $545000
2562, 26TH AVE, 95820, $1600000
41685, DATE ST, 92562, $812820
122, N TUSTIN AVE, 92807, $2800000
3757, OCEAN VIEW BLVD, 92113, $2125000
276, KING ST, 94107, $4300000
1559, S EL DORADO ST, 95206, $448000
912, W 7TH ST, 93030, $299500
7719, CRAIG AVE, 90621, $3500000
744, 1/2 EVERETT ST, 90026, $1300000
27751, LA PAZ RD, 92677, $3276000
255, 3RD AVE, 91910, $2100000
4395, S BLOSSER RD, 93455, $1800000
1810, N LONG BEACH BLVD, 90221, $1800000
1425, W ST, 91762, $2580000
1712, SESSUMS DR, 92374, $5400000
203, S ARNAZ DR, 90211, $3250000
406, COCHRAN ST, 93065, $8800000
258, KING ST, 94107, $4300000
254, 1/2 EVERETT ST, 90026, $1300000
25, 1/2 EVERETT ST, 90026, $1300000
129, S HARBOR BLVD, 92805, $545000
2710, S FAIRVIEW ST, 92704, $21566375
20478, ANITA AVE, 94546, $16100000
2114, N ANGUS ST, 93703, $15800000
4455, TOPAZ ST, 90032, $685000
6931, ARCHIBALD AVE, 91701, $1790000
2118, N ANGUS ST, 93703, $15800000
3622, W 5TH ST, 93030, $560000
5230, 3RD ST, 94124, $2995000
14928, WASHINGTON DR, 92335, $2830000
2664, CONEJO CENTER DR, 91320, $585000
13413, WOODRUFF AVE, 90706, $2950000
416, W 1ST ST, 92780, $2900000
4071, 2ND ST, 92886, $2625000
921, CROCKER ST, 90021, $1050000
2648, CONEJO CENTER DR, 91320, $585000
5849, LONETREE BLVD, 95765, $3700000
4610, LOS ANGELES AVE, 93063, $1900000
2209, IRVING ST, 94122, $5880000
1522, S NOVATO BLVD, 94947, $3000000
12384, DOHERTY ST, 92503, $845250
320, GODDARD WAY, 92618, $8951625
3151, AIRWAY AVE, 92626, $339500
1603, W ANAHEIM ST, 90813, $3000000
26862, CHERRY HILLS BLVD, 92586, $18500000
3845, 35TH ST, 92104, $749000
2100, S STATE ST, 92543, $1100000
1713, SESSUMS DR, 92374, $5400000
20664, LAKE FOREST DR, 92630, $9690000
265, E 4TH ST, 92415, $13976788
528, 1/2 EVERETT ST, 90026, $1300000
1318, 1ST ST, 95020, $8350000
2215, POWELL ST, 94133, $2750000
475, E EUCLID AVE, 90222, $49950000
9231, E WASHBURN RD, 90242, $8695000
1648, H ST, 93721, $1350000
19001, BROOKHURST ST, 92646, $13293988
862, S MOUNTAIN AVE, 91762, $8712000
4419, FIRESTONE BLVD, 90280, $1195000
1170, E ASH AVE, 92831, $3405000
20486, ANITA AVE, 94546, $16100000
2121, W BEVERLY BLVD, 90640, $1550000
250, ROSELAND AVE, 95407, $4000000
1625, ACTION AVE, 94559, $3100000
488, 1/2 EVERETT ST, 90026, $1300000
3645, E IMPERIAL HWY, 90262, $5200000
586, N MAIN ST, 93257, $835000
8210, COMMONWEALTH AVE, 90621, $3000000
822, W 165TH PL, 90247, $3600000
110, N A ST, 93030, $1800000
1148, W GRAND AVE, 91766, $2300000
1802, E 4TH ST, 90802, $5700000
2718, NAGLEE RD, 95304, $6700000
7970, S VAN NESS AVE, 90305, $1248100
170, CAPP ST, 94110, $14980000
15150, SLOVER AVE, 92337, $625000
3426, 22ND ST, 94110, $7888000
3620, W 5TH ST, 93030, $560000
20427, ANITA AVE, 94546, $16100000
2402, EVERGREEN ST, 92707, $1470000
9271, ARCHIBALD AVE, 91730, $649000
9405, WHITTIER BLVD, 90660, $3950000
411, COCHRAN ST, 93065, $8800000
26816, CHERRY HILLS BLVD, 92586, $18500000
11626, GARVEY AVE, 91732, $850000
89, 1/2 EVERETT ST, 90026, $1300000
8510, GARDEN GROVE BLVD, 92844, $1898800
15149, RAYMER ST, 91405, $4500000
703, MAIN ST, 95695, $2625000
608, W MAIN ST, 91801, $5880000
432, E F ST, 90744, $866646
709, BROADWAY ST, 94590, $2500000
825, 1/2 EVERETT ST, 90026, $1300000
910, PHILINDA AVE, 93103, $2575000
572, W MAIN ST, 91801, $5880000
7545, GARVEY AVE, 91770, $4580000
41235, FREMONT BLVD, 94538, $3196000
534, 1/2 EVERETT ST, 90026, $1300000
139, W RIALTO AVE, 92376, $1000000
2699, CONEJO CENTER DR, 91320, $585000
2705, S FAIRVIEW ST, 92704, $21566375
32501, RIVERSIDE DR, 92530, $1999000
3711, CENTRAL AVE, 92506, $1738761
311, S CATALINA AVE, 90277, $10995000
1362, GRAND AVE, 92109, $11000000
1804, SOQUEL AVE, 95062, $4500000
550, HARVEST PARK DR, 94513, $1799900
2007, CLYDE AVE, 90016, $1700000
5905, MISSION GORGE RD, 92120, $12450000
1701, E HIGHLAND AVE, 92404, $3099900
1849, PINE AVE, 90806, $4925000
1324, PACIFIC AVE, 90291, $6750000
6713, MIDDLETON ST, 90255, $1075000
633, E 3RD AVE, 94401, $16500000
7951, S VAN NESS AVE, 90305, $1248100
934, N MADISON ST, 95202, $749000
983, W 7TH ST, 93030, $299500
1601, W ANAHEIM ST, 90813, $3000000
1260, W COURT ST, 90026, $1049000
21700, SEPTO ST, 91311, $28000000
1212, BIDWELL ST, 95630, $10550000
2644, SOQUEL DR, 95065, $3400000
842, 1/2 EVERETT ST, 90026, $1300000
165, 1/2 EVERETT ST, 90026, $1300000
233, COLUMBUS AVE, 94133, $2000000
10653, G AVE, 92345, $2499000
2631, CONEJO CENTER DR, 91320, $585000
1603, VILLA STREET & 200 MARIPOSA AVE, 94041, $1650000
469, 1/2 EVERETT ST, 90026, $1300000
1238, CORONADO DR, 94086, $5000000
31462, YUCAIPA BLVD, 92399, $1650000
607, W MANCHESTER BLVD, 90301, $8100000
5836, ADENMOOR AVE, 90713, $1563499
221, E SIXTH ST, 93030, $875000
1129, INDUSTRIAL AVE, 94952, $263445
4017, GEORGIA ST, 92103, $6850000
4397, SWIFT AVE, 92104, $1100000
632, E SLAUSON AVE, 90011, $11308239
521, WILBUR AVE, 94509, $2350000
1549, WALLACE AVE, 94124, $3315000
967, W 7TH ST, 93030, $299500
635, MARINA BLVD, 94577, $7290000
3606, W 5TH ST, 93030, $560000
938, S VAIL AVE, 90640, $5300000
772, 1/2 EVERETT ST, 90026, $1300000
129, E FANTZ AVE, 93706, $299000
11552, HART ST, 91605, $1150000
9861, YORKTOWN AVE, 92646, $3300000
926, W 7TH ST, 93030, $239900
3885, BEACON AVE, 94538, $995000
215, N LARCHMONT BLVD, 90004, $11000000
2650, SOQUEL DR, 95065, $3400000
2150, TRADE ZONE BLVD, 95131, $10000000
157, S HARBOR BLVD, 92805, $545000
14704, DOOLITTLE DR, 94577, $10170000
231, KING ST, 94107, $4300000
8955, RESEARCH DR, 92618, $4900500
966, W 7TH ST, 93030, $239900
485, E EUCLID AVE, 90222, $49950000
293, 1/2 EVERETT ST, 90026, $1300000
441, E EUCLID AVE, 90222, $49950000
7959, AUBURN BLVD, 95610, $3200000
3978, COMMERCE DR, 95691, $4899000
1065, ASBURY ST, 95126, $1850000
711, E 62ND ST, 90001, $8604750
1017, DOUGLAS BLVD, 95678, $789390
1703, E HIGHLAND AVE, 92404, $3099900
1854, POWELL ST, 94133, $2050000
12219, GARFIELD AVE, 90280, $5975000
660, E 3RD AVE, 94401, $16500000
4728, HAWLEY BLVD, 92116, $16295000
936, PACIFIC AVE, 94133, $1530000
41689, DATE ST, 92562, $812820
294, GOODYEAR ST, 95110, $3593664
323, S CABRILLO AVE, 90731, $500000
2992, NATIONAL AVE, 92113, $1150000
1355, W CHANNEL ISLANDS BLVD, 93033, $3946255
855, S MOUNTAIN AVE, 91762, $8712000
2303, DURFEE AVE, 91732, $4000000
2234, S GOLDEN STATE BLVD, 95380, $2096000
41692, DATE ST, 92562, $812820
7118, BOWLING DR, 95823, $199000
720, SACRAMENTO ST, 94108, $9495000
41633, EASTMAN DR, 92562, $3200000
2904, ALUM ROCK AVE, 95127, $7900000
1720, E 1ST ST, 90802, $4450000
4371, MISSISSIPPI ST, 92104, $6700000
3628, W 5TH ST, 93030, $625000
3611, W 5TH ST, 93030, $560000
1730, CANAL ST, 95340, $950000
8273, WHITE OAK AVE, 91730, $1907000
3585, KETTNER BLVD, 92101, $11500000
3973, COMMERCE DR, 95691, $4899000
1340, W OLIVE AVE, 95348, $1850000
4069, CHAMOUNE AVE, 92105, $1169000
320, WATTS DR, 93307, $1000000
284, GOODYEAR ST, 95110, $3593664
3200, N SAN FERNANDO RD, 90065, $30000000
1811, SOQUEL AVE, 95062, $4500000
7130, FAIR OAKS BLVD, 95608, $650000
712, E 62ND ST, 90001, $8604750
205, 1/2 EVERETT ST, 90026, $1300000
3641, W 5TH ST, 93030, $560000
108, S HARBOR BLVD, 92805, $545000
222, E SIXTH ST, 93030, $875000
24338, MAIN ST, 91321, $1700000
8513, GARDEN GROVE BLVD, 92844, $1898800
2183, KENYON DR, 96001, $615000
228, E GRAND AVE, 92025, $4000000
809, S SIERRA VISTA AVE, 91801, $3875000
744, E CHAPMAN AVE, 92866, $399900
304, S CABRILLO AVE, 90731, $500000
309, S CABRILLO AVE, 90731, $500000
1803, SOQUEL AVE, 95062, $4500000
1226, 1ST ST, 95020, $8350000
1526, IRVING ST, 94122, $1700000
26803, CHERRY HILLS BLVD, 92586, $18500000
1491, CARMEL DR, 94596, $4850000
1665, E MARIPOSA RD, 95205, $665000
945, W 7TH ST, 93030, $239900
22538, SIOUX RD, 92308, $3750000
1538, WALLACE AVE, 94124, $3315000
12183, GARFIELD AVE, 90280, $5975000
151, SAND CREEK RD, 94513, $4404912
208, KING ST, 94107, $4300000
8930, COMPLEX DR, 92123, $1836000
1901, DOUGLAS BLVD, 95661, $7950000
500, BOLLINGER CANYON WAY, 94582, $13500000
74, SKYLINE DR, 91362, $1975000
1824, DELAWARE AVE, 90404, $2525000
5821, E LOS ANGELES AVE, 93063, $2690000
68700, SUMMIT DR, 92234, $1850000
1227, UNIVERSITY AVE, 92103, $15750000
650, SACRAMENTO ST, 94111, $8500000
4027, PAMELA DR, 91710, $1490000
26922, CHERRY HILLS BLVD, 92586, $18500000
7961, S VAN NESS AVE, 90305, $1248100
1659, WASHINGTON AVE, 94577, $2500000
1129, INDUSTRIAL AVE, 94952, $2150000
7714, CRAIG AVE, 90621, $3500000
601, MAIN ST, 95695, $2350000
991, W 7TH ST, 93030, $239900
26812, CHERRY HILLS BLVD, 92586, $18500000
283, KING ST, 94107, $4300000
1222, 1ST ST, 95020, $8350000
12, N 5TH ST, 92373, $2500000
4563, PECK RD, 91732, $5500000
1411, WILLIS ST, 96001, $1995000
49, OCEAN AVE, 94112, $1200000
2460, PURDUE AVE, 90064, $5995000
2333, MARKET ST, 94114, $6495000
3581, 3RD AVE, 92103, $3200000
135, N WILSON AVE, 91106, $3998500
30, BELMONT AVE, 90803, $2700000
2652, CARSON WAY, 94531, $775000
903, W 7TH ST, 93030, $299500
4022, GEORGE RD, 95608, $950000
27, JOHN ST, 93901, $699000
990, W 7TH ST, 93030, $239900
586, W MAIN ST, 91801, $5880000
955, MOFFAT BLVD, 95336, $900000
1146, W GRAND AVE, 91766, $2300000
1632, A ST, 94509, $6200000
13527, VAN NUYS BLVD, 91331, $1800000
756, 1/2 EVERETT ST, 90026, $1300000
1559, REPORT AVE, 95205, $799000
2990, W VALLEY BLVD, 91803, $2225000
13411, WOODRUFF AVE, 90706, $2950000
1228, 1ST ST, 95020, $8350000
26894, CHERRY HILLS BLVD, 92586, $18500000
7999, S VAN NESS AVE, 90305, $1248100
1704, ACTION AVE, 94559, $3100000
321, 1/2 EVERETT ST, 90026, $1300000
814, S ANZA ST, 92020, $1225000
2321, AMERICAN AVE, 94545, $490000
17220, NEWHOPE ST, 92708, $449000
9517, KRUSE RD, 90660, $3286320
2080, N ANGUS ST, 93703, $15800000
1440, E 4TH ST, 91764, $695000
20668, LAKE FOREST DR, 92630, $9690000
518, N A ST, 93030, $925000
2619, CONEJO CENTER DR, 91320, $585000
1535, W FLORENCE AVE, 90047, $1629800
737, SOUTHPOINT BLVD, 94954, $600000
729, SUNRISE AVE, 95661, $225000
123, S HARBOR BLVD, 92805, $545000
2855, 4TH AVE, 92103, $4475000
43921, OSGOOD RD, 94539, $3482526
732, 18TH ST, 95354, $650000
936, W 7TH ST, 93030, $299500
217, S MAIN ST, 95035, $5000000
1253, 1ST ST, 95020, $8350000
1660, N 8TH ST, 92324, $4600000
3851, N BLACKSTONE AVE, 93726, $749000
8355, BLACKBURN AVE, 90048, $7000000
8108, S CENTRAL AVE, 90001, $399000
3566, HOMESTEAD RD, 95051, $4000000
644, N NORMANDIE AVE, 90004, $6200000
446, N M ST, 93274, $1299000
842, S MOUNTAIN AVE, 91762, $8712000
2629, CONEJO CENTER DR, 91320, $585000
3660, W 102ND ST, 90303, $4320000
857, S BRISTOL ST, 92703, $8250000
7056, FOOTHILL BLVD, 91042, $550000
9366, 9TH ST, 91730, $2500000
1126, FOLSOM ST, 94103, $5750000
12125, DAY ST, 92557, $1350000
22002, AVALON BLVD, 90745, $1695000
955, W 7TH ST, 93030, $299500
591, 1/2 EVERETT ST, 90026, $1300000
5640, CUSHING PKY, 94538, $29950000
85, W COURT ST, 95695, $1150000
2602, CONEJO CENTER DR, 91320, $585000
8207, COMMONWEALTH AVE, 90621, $3000000
188, 1/2 EVERETT ST, 90026, $1300000
1923, E 120TH ST, 90059, $3300000
341, MISSION RD, 91205, $999990
104, S MOLLISON AVE, 92020, $4500000
961, MOFFAT BLVD, 95336, $900000
739, 1/2 EVERETT ST, 90026, $1300000
7008, PACIFIC BLVD, 90255, $2700000
1333, W 11TH ST, 95341, $3150000
4721, ENGLE RD, 95608, $1450000
1608, SAWTELLE BLVD, 90025, $5125000
3657, E HIGHLAND AVE, 92346, $5900000
1330, COMMERCE ST, 94954, $3000000
13682, EUCLID ST, 92843, $2300000
31, 15TH ST, 95691, $2670000
36331, CATHEDRAL CANYON DR, 92234, $2649000
15922, FOOTHILL BLVD, 92335, $7500000
2748, LOKER AVE, 92010, $2134740
708, 1/2 EVERETT ST, 90026, $1300000
1702, ACTION AVE, 94559, $3100000
3825, ATHERTON RD, 95765, $1825000
7544, GARVEY AVE, 91770, $4580000
1, FERN HOLLOW DR, 91765, $2500000
1537, E MCFADDEN AVE, 92705, $765000
493, E EUCLID AVE, 90222, $49950000
1483, GREEN VALLEY RD, 95076, $5500000
13405, WOODRUFF AVE, 90706, $2950000
6997, PERRIS HILL RD, 92404, $1098000
1801, E 4TH ST, 90802, $5700000
11368, MONIER PARK PL, 95742, $730000
478, 1/2 EVERETT ST, 90026, $1300000
451, E EUCLID AVE, 90222, $49950000
2027, BACON ST, 92107, $3400000
10613, S PRAIRIE AVE, 90303, $1200000
3440, S MARKET ST, 96001, $1200000
386, 1/2 EVERETT ST, 90026, $1300000
21801, ALESSANDRO BLVD, 92553, $1100000
1405, 5TH ST, 91201, $3920000
7713, CRAIG AVE, 90621, $3500000
559, 1/2 EVERETT ST, 90026, $1300000
1647, W GARVEY AVE, 91790, $1500000
1950, S ATLANTIC BLVD, 91754, $2999900
79, 1/2 EVERETT ST, 90026, $1300000
2000, GRANDVIEW DR, 94558, $18000000
467, 1/2 EVERETT ST, 90026, $1300000
9260, MANGO AVE, 92335, $929000
7072, MISSION BLVD, 92509, $950000
1821, 28TH AVE, 94601, $1525000
1141, S MOUNT VERNON AVE, 92324, $1800000
751, CALLE PL, 93012, $1630000
2307, DURFEE AVE, 91732, $4000000
1208, 1ST ST, 95020, $8350000
365, S CABRILLO AVE, 90731, $500000
819, 1/2 EVERETT ST, 90026, $1300000
1035, N 4TH ST, 95112, $1150000
4389, TECHNOLOGY DR, 94538, $8600000
9794, RESEARCH DR, 92618, $2102660
569, HARVEST PARK DR, 94513, $1799900
3625, W 5TH ST, 93030, $560000
576, W MAIN ST, 91801, $5880000
695, 1/2 EVERETT ST, 90026, $1300000
1023, NATIONAL CITY BLVD, 91950, $7000000
1222, TEMPLE CITY BLVD, 91007, $5576000
7932, AUBURN BLVD, 95610, $3200000
250, BEL MARIN KEYS BLVD, 94949, $2550000
2795, GARDEN AVE, 95111, $1888000
3000, BIG DALTON AVE, 91706, $3726000
4680, MITCHELL AVE, 92505, $1830000
4724, ENGLE RD, 95608, $1450000
1016, UNIVERSITY AVE, 94710, $4349000
869, N GARFIELD AVE, 90640, $1395000
436, E WEBER AVE, 90222, $3603820
22555, ALESSANDRO BLVD, 92553, $5729728
7922, AUBURN BLVD, 95610, $3200000
465, E EUCLID AVE, 90222, $49950000
2317, CENTRAL AVE, 94501, $4999000
327, S BURLINGTON AVE, 90057, $2050000
2703, CONEJO CENTER DR, 91320, $585000
10642, SAN SEVAINE WAY, 91752, $1982400
2401, W WHITTIER BLVD, 90640, $4250000
4727, HAWLEY BLVD, 92116, $16295000
1040, NATIONAL CITY BLVD, 91950, $7000000
957, W 7TH ST, 93030, $299500
20457, ANITA AVE, 94546, $16100000
24531, WEBSTER AVE, 92553, $430000
470, 1/2 EVERETT ST, 90026, $1300000
1731, W ADAMS BLVD, 90018, $4900000
823, TOWNE ST, 92627, $1200000
4043, S MOONEY BLVD, 93277, $9975000
14021, WHITTIER BLVD, 90605, $1650000
778, 1/2 EVERETT ST, 90026, $1300000
12208, GARFIELD AVE, 90280, $5975000
1528, HAIGHT ST, 94117, $4888888
12159, PARAMOUNT BLVD, 90242, $2315000
1532, REPORT AVE, 95205, $799000
504, E ALONDRA BLVD, 90248, $4900000
11849, HESPERIA RD, 92345, $1250000
3403, YERBA BUENA RD, 95135, $56161080
1160, E ASH AVE, 92831, $3405000
13818, PIONEER BLVD, 90650, $1190000
1964, LAS CANOAS RD, 93105, $13500000
860, S MOUNTAIN AVE, 91762, $8712000
25391, COMMERCENTRE DR, 92630, $7903625
68342, KIELEY RD, 92234, $3500000
361, 1/2 EVERETT ST, 90026, $1300000
1661, N 8TH ST, 92324, $4600000
108, N A ST, 93030, $1800000
4364, TECHNOLOGY DR, 94538, $8600000
4556, MATTOS DR, 94536, $2150000
30076, HAUN RD, 92584, $5141000
9091, EDINGER AVE, 92683, $2400000
12101, CLARK ST, 91006, $950000
171, NOVATO ST, 94901, $1090000
2424, FENTON ST, 91914, $3150000
20431, ANITA AVE, 94546, $16100000
634, E 3RD AVE, 94401, $16500000
250, S BURLINGTON AVE, 90057, $2550000
4868, 67TH ST, 92115, $4999999
890, S BRISTOL ST, 92703, $8250000
5179, FOUNTAIN AVE, 90029, $4300000
1611, CLAY ST, 94612, $4000000
137, 1/2 EVERETT ST, 90026, $1300000
1643, A ST, 94509, $6200000
506, E EUCLID AVE, 90222, $49950000
16819, S NORMANDIE AVE, 90247, $1850000
1599, W BETTERAVIA RD, 93455, $2950000
26925, CHERRY HILLS BLVD, 92586, $18500000
2205, FLORIDA AVE, 94804, $699999
12318, VALLEY VIEW AVE, 90604, $1150000
1182, E FLORENCE AVE, 90001, $2300000
3653, W 5TH ST, 93030, $560000
16332, E 14TH ST, 94578, $6000000
2401, WHIPPLE RD, 94544, $16690000
348, ESTABROOK ST, 94577, $13500000
7575, WORLD CUP AVE, 92545, $3000000
41240, FREMONT BLVD, 94538, $3196000
455, N M ST, 93274, $1299000
10626, SAN SEVAINE WAY, 91752, $1982400
2873, B ST, 92102, $10750000
41695, DATE ST, 92562, $812820
5646, CUSHING PKY, 94538, $29950000
889, S BRISTOL ST, 92703, $8250000
808, S MOUNTAIN AVE, 91762, $8712000
2456, GLEN AVE, 95340, $4100000
7219, MOHAWK ST, 92115, $1040000
430, S STATE COLLEGE BLVD, 92806, $3175000
1818, HILLSDALE AVE, 95124, $15000000
1651, A ST, 94509, $6200000
2638, CONEJO CENTER DR, 91320, $585000
2122, N ANGUS ST, 93703, $15800000
286, 1/2 EVERETT ST, 90026, $1300000
2552, 26TH AVE, 95820, $1600000
319, E BALL RD, 92805, $6399000
10822, MAGNOLIA BLVD, 91601, $5950000
5692, CUSHING PKY, 94538, $29950000
444, S STATE COLLEGE BLVD, 92806, $3175000
26841, CHERRY HILLS BLVD, 92586, $18500000
12943, BROOKHURST WAY, 92844, $2100000
381, 1/2 EVERETT ST, 90026, $1300000
491, 1/2 EVERETT ST, 90026, $1300000
501, E MICHELTORENA ST, 93103, $1375000
1651, CAHUENGA BLVD, 90028, $8500000
1342, E CARSON ST, 90745, $3495000
919, W 7TH ST, 93030, $239900
22757, DEL VALLE ST, 91364, $1300000
1446, PECKHAM ST, 92833, $2549000
1815, HILLSDALE AVE, 95124, $15000000
850, MONTEREY PASS RD, 91754, $3650000
2233, 7TH AVE, 94606, $2200000
603, MAIN ST, 95695, $2350000
1647, W 15TH ST, 90813, $3848000
607, W MAIN ST, 91801, $5880000
2682, CONEJO CENTER DR, 91320, $585000
125, N JACKSON AVE, 95116, $330000
9302, CALIFORNIA AVE, 90280, $599000
3342, HOLLY DR, 95376, $3200000
1744, TRAVIS BLVD, 94533, $6580000
4025, W EL SEGUNDO BLVD, 90250, $949000
14316, HALLDALE AVE, 90247, $539000
2189, N LAKEWOOD BLVD, 90815, $6000000
550, MIDDLEFIELD RD, 94301, $12000000
4691, CLAYTON RD, 94521, $3000000
8505, GARDEN GROVE BLVD, 92844, $1898800
9268, 1/2 HALL RD, 90241, $978040
20665, LAKE FOREST DR, 92630, $9690000
1024, W PINE ST, 91786, $1135000
903, 1/2 EVERETT ST, 90026, $1300000
12210, GARFIELD AVE, 90280, $5975000
2127, N ANGUS ST, 93703, $15800000
28413, HASKELL CANYON RD, 91390, $8000000
938, PACIFIC AVE, 94133, $1530000
1798, MCALLISTER ST, 94115, $2690000
3687, W 5TH ST, 93030, $625000
396, S CABRILLO AVE, 90731, $500000
2111, N ANGUS ST, 93703, $15800000
2034, SINALOA RD, 93065, $2600000
1595, MINNESOTA AVE, 95125, $1598000
642, E 3RD AVE, 94401, $16500000
878, 1/2 EVERETT ST, 90026, $1300000
670, S LA BREA AVE, 90301, $800000
1061, FOLSOM ST, 94103, $7500000
1403, W VALLEY BLVD, 91803, $2100000
12155, GARFIELD AVE, 90280, $5975000
5405, S FIGUEROA ST, 90037, $4490000
9623, CHARLEVILLE BLVD, 90212, $4850000
2267, DURFEE AVE, 91732, $4000000
3641, W 5TH ST, 93030, $625000
5662, CUSHING PKY, 94538, $29950000
1327, CLEGG ST, 94954, $3000000
1604, H ST, 93721, $1350000
1982, S GAREY AVE, 91766, $8000000
345, S CABRILLO AVE, 90731, $500000
600, E 3RD AVE, 94401, $16500000
2180, E COLORADO BLVD, 91107, $2588000
227, KING ST, 94107, $4300000
2116, CLINTON AVE, 94501, $2075000
21005, MEEKLAND AVE, 94541, $3795000
326, E PLAZA DR, 93454, $1800000
13423, WOODRUFF AVE, 90706, $2950000
3659, W 5TH ST, 93030, $625000
810, S MOUNTAIN AVE, 91762, $8712000
412, HUMBOLDT ST, 95404, $1063000
2525, SAN FERNANDO BLVD, 91504, $2200000
9610, ALWOOD AVE, 92841, $4475000
30078, HAUN RD, 92584, $5141000
121, N TUSTIN AVE, 92807, $2800000
1156, E ASH AVE, 92831, $3405000
531, E EUCLID AVE, 90222, $49950000
4802, WHITTIER BLVD, 90022, $3304224
827, OCEAN BLVD, 90802, $2100000
12846, NUTWOOD ST, 92840, $4956000
579, N LA CADENA DR, 92324, $1399990
3555, KETTNER BLVD, 92101, $11500000
2604, CONEJO CENTER DR, 91320, $585000
181, N MAIN ST, 93257, $220000
220, E SIXTH ST, 93030, $875000
7837, GALENA ST, 92509, $625000
140, ACACIA AVE, 92008, $5250000
1214, LINCOLN AVE, 94901, $1045000
857, 1/2 EVERETT ST, 90026, $1300000
10828, MAGNOLIA BLVD, 91601, $5950000
10943, JASMINE ST, 92337, $2700000
23919, AVALON BLVD, 90745, $750000
926, 1/2 EVERETT ST, 90026, $1300000
471, 1/2 EVERETT ST, 90026, $1300000
2258, DURFEE AVE, 91732, $4000000
28442, HASKELL CANYON RD, 91390, $8000000
924, 1/2 EVERETT ST, 90026, $1300000
1210, S BRAND BLVD, 91204, $3198000
24172, WEBSTER AVE, 92553, $488000
438, N M ST, 93274, $1299000
1852, PINE AVE, 90806, $4000000
1286, ANVILWOOD AVE, 94089, $4785000
403, 1/2 EVERETT ST, 90026, $1300000
1630, KIDDER AVE, 94533, $2725000
1605, VILLA STREET & 200 MARIPOSA AVE, 94041, $1650000
1030, B ST, 93706, $650000
560, W MAIN ST, 91801, $5880000
1426, W VALLEY BLVD, 91803, $2100000
123, HIAWATHA AVE, 95062, $6250000
